codetype,code,text,
branch,HB,"Hovedbiblioteket",
branch,adm,"Administrationen",
branch,bir,"BIBLIOTEKET Rentemestervej",
branch,blå,"Blågården",
branch,bom,"BRUG IKKE DENNE !!!",
branch,brh,"Brønshøj",
branch,bro,"Bibliotekshuset",
branch,bry,"Islands Brygge",
branch,by,"ØRN Bystævneparken",
branch,ch,"Christianshavn",
branch,cso,"Fjernlager (cso)",
branch,dep,"SKAL RETUR-INDSAMLES og kass. (BCI)",
branch,edb,"KS-edb",
branch,fje,"Fjernlån",
branch,fju,"FjernUDlån (afh.sted)",
branch,hu,"Husum",
branch,ja,"Øbro Jagtvej",
branch,kas,"SKAL KASSERES",
branch,kat,"Katalogafdelingen",
branch,kf,"HB Københavns fængsler",
branch,kik,"Katalog-Indkøb-Kørsel",
branch,kk,"Bestilt - ikke modtaget",
branch,lyd,"Lydavisen",
branch,mob,"Event",
branch,nø,"Nørrebro",
branch,rh,"HB Rigshospitalet",
branch,rhb,"Rådhusbiblioteket",
branch,s,"Sundby",
branch,sr,"Solvang Centret",
branch,sta,"Stadsarkivet",
branch,syd,"Sydhavn",
branch,tin,"Tingbjerg",
branch,va,"Valby",
branch,van,"Vanløse",
branch,ve,"Vesterbro",
branch,vi,"Vigerslev",
branch,å01,"Fjernlager 1",
branch,å02,"Fjernlager 2",
branch,å03,"Fjernlager 3",
branch,å04,"Fjernlager 4",
branch,å05,"Fjernlager 5",
branch,ø,"Østerbro",
branch,øre,"Ørestad",
transtype,1,"Udlån",
transtype,2,"Fornyelse",
transtype,3,"Aflevering",
cat,00,"Personale m/autoudlån",
cat,01,"Internt lån m/autoudlån",
cat,02,"Internt lån u/autoudlån",
cat,03,"Internt lån autokassation udelukkende",
cat,10,"Voksne bosat i kbh.",
cat,11,"Voksne frivillige bosat i kbh.",
cat,12,"Voksne bosat udenfor kbh.",
cat,13,"Voksne frivillige bosat udenfor kbh.",
cat,20,"Børn 0-10 år bosat i Kbh.",
cat,21,"Børn 11-14 år bosat i Kbh.",
cat,22,"Børn 15-17 år bosat i Kbh.",
cat,25,"Børn 0-10 år ikke bosat i Kbh.",
cat,26,"Børn 11-14 år ikke bosat i Kbh.",
cat,27,"Børn 15-17 år ikke bosat i Kbh.",
cat,40,"Institutioner, voksne",
cat,41,"Institutioner, voksne udenfor Kbh.",
cat,43,"Online Brugere",
cat,45,"Plejehjem/Dagcentre/Hospitaler",
cat,46,"Plejehjem/Dagcentre/Hospitaler udenfor Kbh.",
cat,47,"Patienter",
cat,48,"Online hospitalsbrugere bosat i København",
cat,49,"Online hospitalsbrugere bosat uden for København",
cat,50,"Institutioner",
cat,51,"Institutioner udenfor Kbh.",
cat,60,"Firmaer",
cat,61,"Firmaer udenfor Kbh.",
cat,70,"Folkebiblioteker",
cat,71,"Andre danske informationsleverandører",
cat,72,"Uddannelsesbiblioteker",
cat,73,"Skolebiblioteker i Danmark",
cat,75,"Fag- og Forskningsbiblioteker",
cat,76,"Biblioteker i Norden",
cat,77,"Biblioteker i den øvrige verden",
cat,78,"Andre informationsleverandører i den øvrige verden",
cat,90,"Voksne bosat i udlandet",
cat,91,"Børn bosat i udlandet",
cat,95,"Rådhusets afdelinger",
cat,97,"Låner oprettet under nødudlån",
cat,98,"Fælles folke- og skolebibliotek, institutionslån",
cat,99,"Fælles folke- og skolebibliotek, lånere",
cat,UD,"Udgået",
cat,ZZ,"Skolelåner udmeldt/fratrådt (Ørestad)",
cat,bk,"Biblioteket kommer lånere (tilmeldt modulet)",
cat,fk,"Flyvende-kuffert børn (tilmeldt modulet)",
cat,pk,"Plejehjemsbeboere (tilmeldt modulet)",
cat,ØR,"Personale på Ørestad Skole",
cat,ør,"Elever på Ørestad Skole",
municipalno,000,"Ukendt",
municipalno,01,"Thorshavns bykommune",
municipalno,02,"Fuglø (Færøerne)",
municipalno,03,"Svinø (Færøerne)",
municipalno,04,"Viderejde (Færøerne)",
municipalno,05,"Kvannesund (Færøerne)",
municipalno,06,"Klaksvig (Færøerne)",
municipalno,07,"Kunø (Færøerne)",
municipalno,08,"Mygledal (Færøerne)",
municipalno,09,"Husum (Færøerne)",
municipalno,10,"Eldevig (Færøerne)",
municipalno,101,"København",
municipalno,11,"Andefjord (Færøerne)",
municipalno,12,"Fuglefjord (Færøerne)",
municipalno,13,"Lervig (Færøerne)",
municipalno,14,"Gøte (Færøerne)",
municipalno,147,"Frederiksberg",
municipalno,15,"Næs (Færøerne)",
municipalno,151,"Ballerup",
municipalno,153,"Brøndby",
municipalno,155,"Dragør",
municipalno,157,"Gentofte",
municipalno,159,"Gladsaxe",
municipalno,16,"Runavik (Færøerne)",
municipalno,161,"Glostrup",
municipalno,163,"Herlev",
municipalno,165,"Albertslund",
municipalno,167,"Hvidovre",
municipalno,169,"Høje-Taastrup",
municipalno,17,"Skåle (Færøerne)",
municipalno,171,"(Gammelt kommunenr.)",
municipalno,173,"Lyngby-Taarbæk",
municipalno,175,"Rødovre",
municipalno,18,"Sjov (Færøerne)",
municipalno,181,"(Gammelt kommunenr.)",
municipalno,183,"Ishøj",
municipalno,185,"Tårnby",
municipalno,187,"Vallensbæk",
municipalno,189,"(Gammelt kommunenr.)",
municipalno,19,"Sunde (Færøerne)",
municipalno,190,"Furesø",
municipalno,20,"Ejde (Færøerne)",
municipalno,201,"Allerød",
municipalno,205,"(Gammelt kommunenr.)",
