"Number","Title","Score"
"1.","Planet Earth II","9.5"
"2.","Vores planet","9.4"
"3.","Kammerater i krig","9.4"
"4.","Breaking Bad","9.4"
"5.","Chernobyl","9.4"
"6.","Blue Planet II","9.3"
"7.","The Wire","9.3"
"8.","Game of Thrones","9.3"
"9.","Our Planet","9.3"
"10.","Cosmos: A Spacetime Odyssey","9.2"
"11.","Cosmos","9.2"
"12.","Rick and Morty","9.2"
"13.","Avatar: The Last Airbender","9.2"
"14.","Sopranos","9.2"
"15.","En verden i krig","9.1"
"16.","Life","9.1"
"17.","The Vietnam War","9.1"
"18.","Sherlock","9.1"
"19.","Hagane no renkinjutsushi","9.1"
"20.","The Twilight Zone","9.0"
"21.","The Beatles Anthology","9.0"
"22.","Human Planet","9.0"
"23.","The Blue Planet","9.0"
"24.","Sahsiyet","9.0"
"25.","Batman: The Animated Series","9.0"
"26.","Firefly","9.0"
"27.","Den frosne planet","9.0"
"28.","Dekalog","9.0"
"29.","True Detective","8.9"
"30.","Meme Review","8.9"
"31.","The Civil War","8.9"
"32.","Death Note: Desu nôto","8.9"
"33.","Fargo","8.9"
"34.","Apokalypse - Anden Verdenskrig","8.9"
"35.","Kaubôi bibappu","8.9"
"36.","Africa","8.9"
"37.","When They See Us","8.9"
"38.","Last Week Tonight with John Oliver","8.9"
"39.","TVF Pitchers","8.8"
"40.","Only Fools and Horses....","8.8"
"41.","Hunter x Hunter","8.8"
"42.","Venner","8.8"
"43.","Monty Pythons flyvende cirkus","8.8"
"44.","Das Boot","8.8"
"45.","The Office","8.8"
"46.","Seinfeld","8.8"
"47.","Stolthed og fordom","8.8"
"48.","Black Mirror","8.8"
"49.","Gravity Falls","8.8"
"50.","Over the Garden Wall","8.8"
"51.","Twin Peaks","8.8"
"52.","One Punch Man: Wanpanman","8.8"
"53.","Narcos","8.8"
"54.","Peaky Blinders","8.8"
"55.","Nathan for You","8.8"
"56.","Stranger Things","8.7"
"57.","Blackadder Goes Forth","8.7"
"58.","Freaks og Geeks","8.7"
"59.","Halløj på badehotellet","8.7"
"60.","Familie på livstid","8.7"
"61.","Senke nad Balkanom","8.7"
"62.","Shingeki no kyojin","8.7"
"63.","Chappelle's Show","8.7"
"64.","It's Always Sunny in Philadelphia","8.7"
"65.","Rome","8.7"
"66.","House of Cards","8.7"
"67.","Vinland Saga","8.7"
